Number,Name,Type,Species,Height,Weight,Description,Abilities,Stats,Moves
1,Bulbasaur,"Grass, Poison","Seed Pokémon","0.7m (2′04″)","6.9kg (15.2lbs)","A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.","Overgrow, Chlorophyll (hidden ability)","HP: 45; Attack: 49; Defense: 49; Sp. Atk: 65; Sp. Def: 65; Speed: 45; Total: 318","LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 3, Move: Vine Whip, Type: Grass, Power: 45, Accuracy: 100; LVL: 6, Move: Growth, Type: Normal, Power: —, Accuracy: —; LVL: 9, Move: Leech Seed, Type: Grass, Power: —, Accuracy: 90; LVL: 12, Move: Razor Leaf, Type: Grass, Power: 55, Accuracy: 95; LVL: 15, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 15, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 18, Move: Seed Bomb, Type: Grass, Power: 80, Accuracy: 100; LVL: 21, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 24, Move: Sweet Scent, Type: Normal, Power: —, Accuracy: 100; LVL: 27, Move: Synthesis, Type: Grass, Power: —, Accuracy: —; LVL: 30, Move: Worry Seed, Type: Grass, Power: —, Accuracy: 100; LVL: 33, Move: Power Whip, Type: Grass, Power: 120, Accuracy: 85; LVL: 36, Move: Solar Beam, Type: Grass, Power: 120, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 3, Move: Vine Whip, Type: Grass, Power: 45, Accuracy: 100; LVL: 6, Move: Growth, Type: Normal, Power: —, Accuracy: —; LVL: 9, Move: Leech Seed, Type: Grass, Power: —, Accuracy: 90; LVL: 12, Move: Razor Leaf, Type: Grass, Power: 55, Accuracy: 95; LVL: 15, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 15, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 18, Move: Seed Bomb, Type: Grass, Power: 80, Accuracy: 100; LVL: 21, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 24, Move: Sweet Scent, Type: Normal, Power: —, Accuracy: 100; LVL: 27, Move: Synthesis, Type: Grass, Power: —, Accuracy: —; LVL: 30, Move: Worry Seed, Type: Grass, Power: —, Accuracy: 100; LVL: 33, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 36, Move: Solar Beam, Type: Grass, Power: 120, Accuracy: 100"
2,Ivysaur,"Grass, Poison","Seed Pokémon","1.0m (3′03″)","13.0kg (28.7lbs)","When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.","Overgrow, Chlorophyll (hidden ability)","HP: 60; Attack: 62; Defense: 63; Sp. Atk: 80; Sp. Def: 80; Speed: 60; Total: 405","LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Growth, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Vine Whip, Type: Grass, Power: 45, Accuracy: 100; LVL: 9, Move: Leech Seed, Type: Grass, Power: —, Accuracy: 90; LVL: 12, Move: Razor Leaf, Type: Grass, Power: 55, Accuracy: 95; LVL: 15, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 15, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 20, Move: Seed Bomb, Type: Grass, Power: 80, Accuracy: 100; LVL: 25, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 30, Move: Sweet Scent, Type: Normal, Power: —, Accuracy: 100; LVL: 35, Move: Synthesis, Type: Grass, Power: —, Accuracy: —; LVL: 40, Move: Worry Seed, Type: Grass, Power: —, Accuracy: 100; LVL: 45, Move: Power Whip, Type: Grass, Power: 120, Accuracy: 85; LVL: 50, Move: Solar Beam, Type: Grass, Power: 120, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Growth, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Vine Whip, Type: Grass, Power: 45, Accuracy: 100; LVL: 9, Move: Leech Seed, Type: Grass, Power: —, Accuracy: 90; LVL: 12, Move: Razor Leaf, Type: Grass, Power: 55, Accuracy: 95; LVL: 15, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 15, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 20, Move: Seed Bomb, Type: Grass, Power: 80, Accuracy: 100; LVL: 25, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 30, Move: Sweet Scent, Type: Normal, Power: —, Accuracy: 100; LVL: 35, Move: Synthesis, Type: Grass, Power: —, Accuracy: —; LVL: 40, Move: Worry Seed, Type: Grass, Power: —, Accuracy: 100; LVL: 45, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 50, Move: Solar Beam, Type: Grass, Power: 120, Accuracy: 100"
3,Venusaur,"Grass, Poison","Seed Pokémon","2.0m (6′07″)","100.0kg (220.5lbs)","The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.","Overgrow, Chlorophyll (hidden ability)","HP: 80; Attack: 82; Defense: 83; Sp. Atk: 100; Sp. Def: 100; Speed: 80; Total: 525","LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Growth, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Petal Dance, Type: Grass, Power: 120, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Vine Whip, Type: Grass, Power: 45, Accuracy: 100; LVL: 9, Move: Leech Seed, Type: Grass, Power: —, Accuracy: 90; LVL: 12, Move: Razor Leaf, Type: Grass, Power: 55, Accuracy: 95; LVL: 15, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 15, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 20, Move: Seed Bomb, Type: Grass, Power: 80, Accuracy: 100; LVL: 25, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 30, Move: Sweet Scent, Type: Normal, Power: —, Accuracy: 100; LVL: 37, Move: Synthesis, Type: Grass, Power: —, Accuracy: —; LVL: 44, Move: Worry Seed, Type: Grass, Power: —, Accuracy: 100; LVL: 51, Move: Power Whip, Type: Grass, Power: 120, Accuracy: 85; LVL: 58, Move: Solar Beam, Type: Grass, Power: 120, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Growth, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Petal Blizzard, Type: Grass, Power: 90, Accuracy: 100; LVL: 1, Move: Petal Dance, Type: Grass, Power: 120, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Vine Whip, Type: Grass, Power: 45, Accuracy: 100; LVL: 9, Move: Leech Seed, Type: Grass, Power: —, Accuracy: 90; LVL: 12, Move: Razor Leaf, Type: Grass, Power: 55, Accuracy: 95; LVL: 15, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 15, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 20, Move: Seed Bomb, Type: Grass, Power: 80, Accuracy: 100; LVL: 25, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 30, Move: Sweet Scent, Type: Normal, Power: —, Accuracy: 100; LVL: 37, Move: Synthesis, Type: Grass, Power: —, Accuracy: —; LVL: 44, Move: Worry Seed, Type: Grass, Power: —, Accuracy: 100; LVL: 51, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 58, Move: Solar Beam, Type: Grass, Power: 120, Accuracy: 100"
4,Charmander,"Fire","Lizard Pokémon","0.6m (2′00″)","8.5kg (18.7lbs)","Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.","Blaze, Solar Power (hidden ability)","HP: 39; Attack: 52; Defense: 43; Sp. Atk: 60; Sp. Def: 50; Speed: 65; Total: 309","LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 4, Move: Ember, Type: Fire, Power: 40, Accuracy: 100; LVL: 8, Move: Smokescreen, Type: Normal, Power: —, Accuracy: 100; LVL: 12, Move: Dragon Breath, Type: Dragon, Power: 60, Accuracy: 100; LVL: 17, Move: Fire Fang, Type: Fire, Power: 65, Accuracy: 95; LVL: 20, Move: Slash, Type: Normal, Power: 70, Accuracy: 100; LVL: 24, Move: Flamethrower, Type: Fire, Power: 90, Accuracy: 100; LVL: 28, Move: Scary Face, Type: Normal, Power: —, Accuracy: 100; LVL: 32, Move: Fire Spin, Type: Fire, Power: 35, Accuracy: 85; LVL: 36, Move: Inferno, Type: Fire, Power: 100, Accuracy: 50; LVL: 40, Move: Flare Blitz, Type: Fire, Power: 120, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 4, Move: Ember, Type: Fire, Power: 40, Accuracy: 100; LVL: 8, Move: Smokescreen, Type: Normal, Power: —, Accuracy: 100; LVL: 12, Move: Dragon Breath, Type: Dragon, Power: 60, Accuracy: 100; LVL: 17, Move: Fire Fang, Type: Fire, Power: 65, Accuracy: 95; LVL: 20, Move: Slash, Type: Normal, Power: 70, Accuracy: 100; LVL: 24, Move: Flamethrower, Type: Fire, Power: 90, Accuracy: 100; LVL: 28, Move: Scary Face, Type: Normal, Power: —, Accuracy: 100; LVL: 32, Move: Fire Spin, Type: Fire, Power: 35, Accuracy: 85; LVL: 36, Move: Inferno, Type: Fire, Power: 100, Accuracy: 50; LVL: 40, Move: Flare Blitz, Type: Fire, Power: 120, Accuracy: 100"
5,Charmeleon,"Fire","Flame Pokémon","1.1m (3′07″)","19.0kg (41.9lbs)","When it swings its burning tail, it elevates the temperature to unbearably high levels.","Blaze, Solar Power (hidden ability)","HP: 58; Attack: 64; Defense: 58; Sp. Atk: 80; Sp. Def: 65; Speed: 80; Total: 405","LVL: 1, Move: Ember, Type: Fire, Power: 40, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Smokescreen, Type: Normal, Power: —, Accuracy: 100; LVL: 12, Move: Dragon Breath, Type: Dragon, Power: 60, Accuracy: 100; LVL: 19, Move: Fire Fang, Type: Fire, Power: 65, Accuracy: 95; LVL: 24, Move: Slash, Type: Normal, Power: 70, Accuracy: 100; LVL: 30, Move: Flamethrower, Type: Fire, Power: 90, Accuracy: 100; LVL: 37, Move: Scary Face, Type: Normal, Power: —, Accuracy: 100; LVL: 48, Move: Inferno, Type: Fire, Power: 100, Accuracy: 50; LVL: 54, Move: Flare Blitz, Type: Fire, Power: 120, Accuracy: 100; LVL: 1, Move: Ember, Type: Fire, Power: 40, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Smokescreen, Type: Normal, Power: —, Accuracy: 100; LVL: 12, Move: Dragon Breath, Type: Dragon, Power: 60, Accuracy: 100; LVL: 19, Move: Fire Fang, Type: Fire, Power: 65, Accuracy: 95; LVL: 24, Move: Slash, Type: Normal, Power: 70, Accuracy: 100; LVL: 30, Move: Flamethrower, Type: Fire, Power: 90, Accuracy: 100; LVL: 37, Move: Scary Face, Type: Normal, Power: —, Accuracy: 100; LVL: 42, Move: Fire Spin, Type: Fire, Power: 35, Accuracy: 85; LVL: 48, Move: Inferno, Type: Fire, Power: 100, Accuracy: 50; LVL: 54, Move: Flare Blitz, Type: Fire, Power: 120, Accuracy: 100"
6,Charizard,"Fire, Flying","Flame Pokémon","1.7m (5′07″)","90.5kg (199.5lbs)","Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.","Blaze, Solar Power (hidden ability)","HP: 78; Attack: 84; Defense: 78; Sp. Atk: 109; Sp. Def: 85; Speed: 100; Total: 534","LVL: 1, Move: Dragon Claw, Type: Dragon, Power: 80, Accuracy: 100; LVL: 1, Move: Ember, Type: Fire, Power: 40, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Heat Wave, Type: Fire, Power: 95, Accuracy: 90; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Smokescreen, Type: Normal, Power: —, Accuracy: 100; LVL: 12, Move: Dragon Breath, Type: Dragon, Power: 60, Accuracy: 100; LVL: 19, Move: Fire Fang, Type: Fire, Power: 65, Accuracy: 95; LVL: 24, Move: Slash, Type: Normal, Power: 70, Accuracy: 100; LVL: 30, Move: Flamethrower, Type: Fire, Power: 90, Accuracy: 100; LVL: 39, Move: Scary Face, Type: Normal, Power: —, Accuracy: 100; LVL: 46, Move: Fire Spin, Type: Fire, Power: 35, Accuracy: 85; LVL: 54, Move: Inferno, Type: Fire, Power: 100, Accuracy: 50; LVL: 62, Move: Flare Blitz, Type: Fire, Power: 120, Accuracy: 100; LVL: 1, Move: Air Slash, Type: Flying, Power: 75, Accuracy: 95; LVL: 1, Move: Dragon Claw, Type: Dragon, Power: 80, Accuracy: 100; LVL: 1, Move: Ember, Type: Fire, Power: 40, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Heat Wave, Type: Fire, Power: 95, Accuracy: 90; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Smokescreen, Type: Normal, Power: —, Accuracy: 100; LVL: 12, Move: Dragon Breath, Type: Dragon, Power: 60, Accuracy: 100; LVL: 19, Move: Fire Fang, Type: Fire, Power: 65, Accuracy: 95; LVL: 24, Move: Slash, Type: Normal, Power: 70, Accuracy: 100; LVL: 30, Move: Flamethrower, Type: Fire, Power: 90, Accuracy: 100; LVL: 39, Move: Scary Face, Type: Normal, Power: —, Accuracy: 100; LVL: 46, Move: Fire Spin, Type: Fire, Power: 35, Accuracy: 85; LVL: 54, Move: Inferno, Type: Fire, Power: 100, Accuracy: 50; LVL: 62, Move: Flare Blitz, Type: Fire, Power: 120, Accuracy: 100"
7,Squirtle,"Water","Tiny Turtle Pokémon","0.5m (1′08″)","9.0kg (19.8lbs)","After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.","Torrent, Rain Dish (hidden ability)","HP: 44; Attack: 48; Defense: 65; Sp. Atk: 50; Sp. Def: 64; Speed: 43; Total: 314","LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 3, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 6, Move: Withdraw, Type: Water, Power: —, Accuracy: —; LVL: 9, Move: Rapid Spin, Type: Normal, Power: 50, Accuracy: 100; LVL: 12, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 15, Move: Water Pulse, Type: Water, Power: 60, Accuracy: 100; LVL: 18, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 21, Move: Rain Dance, Type: Water, Power: —, Accuracy: —; LVL: 24, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 27, Move: Shell Smash, Type: Normal, Power: —, Accuracy: —; LVL: 30, Move: Iron Defense, Type: Steel, Power: —, Accuracy: —; LVL: 33, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 36, Move: Wave Crash, Type: Water, Power: 120, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 3, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 6, Move: Withdraw, Type: Water, Power: —, Accuracy: —; LVL: 9, Move: Rapid Spin, Type: Normal, Power: 50, Accuracy: 100; LVL: 12, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 15, Move: Water Pulse, Type: Water, Power: 60, Accuracy: 100; LVL: 18, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 21, Move: Rain Dance, Type: Water, Power: —, Accuracy: —; LVL: 24, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 27, Move: Shell Smash, Type: Normal, Power: —, Accuracy: —; LVL: 30, Move: Iron Defense, Type: Steel, Power: —, Accuracy: —; LVL: 33, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 36, Move: Skull Bash, Type: Normal, Power: 130, Accuracy: 100"
8,Wartortle,"Water","Turtle Pokémon","1.0m (3′03″)","22.5kg (49.6lbs)","Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.","Torrent, Rain Dish (hidden ability)","HP: 59; Attack: 63; Defense: 80; Sp. Atk: 65; Sp. Def: 80; Speed: 58; Total: 405","LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 1, Move: Withdraw, Type: Water, Power: —, Accuracy: —; LVL: 9, Move: Rapid Spin, Type: Normal, Power: 50, Accuracy: 100; LVL: 12, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 15, Move: Water Pulse, Type: Water, Power: 60, Accuracy: 100; LVL: 20, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 25, Move: Rain Dance, Type: Water, Power: —, Accuracy: —; LVL: 30, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 35, Move: Shell Smash, Type: Normal, Power: —, Accuracy: —; LVL: 40, Move: Iron Defense, Type: Steel, Power: —, Accuracy: —; LVL: 45, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 50, Move: Wave Crash, Type: Water, Power: 120, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 1, Move: Withdraw, Type: Water, Power: —, Accuracy: —; LVL: 9, Move: Rapid Spin, Type: Normal, Power: 50, Accuracy: 100; LVL: 12, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 15, Move: Water Pulse, Type: Water, Power: 60, Accuracy: 100; LVL: 20, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 25, Move: Rain Dance, Type: Water, Power: —, Accuracy: —; LVL: 30, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 35, Move: Shell Smash, Type: Normal, Power: —, Accuracy: —; LVL: 40, Move: Iron Defense, Type: Steel, Power: —, Accuracy: —; LVL: 45, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 50, Move: Skull Bash, Type: Normal, Power: 130, Accuracy: 100"
9,Blastoise,"Water","Shellfish Pokémon","1.6m (5′03″)","85.5kg (188.5lbs)","A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.","Torrent, Rain Dish (hidden ability)","HP: 79; Attack: 83; Defense: 100; Sp. Atk: 85; Sp. Def: 105; Speed: 78; Total: 530","LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 1, Move: Withdraw, Type: Water, Power: —, Accuracy: —; LVL: 9, Move: Rapid Spin, Type: Normal, Power: 50, Accuracy: 100; LVL: 12, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 15, Move: Water Pulse, Type: Water, Power: 60, Accuracy: 100; LVL: 20, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 25, Move: Rain Dance, Type: Water, Power: —, Accuracy: —; LVL: 30, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 35, Move: Shell Smash, Type: Normal, Power: —, Accuracy: —; LVL: 42, Move: Iron Defense, Type: Steel, Power: —, Accuracy: —; LVL: 49, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 56, Move: Wave Crash, Type: Water, Power: 120, Accuracy: 100; LVL: 1, Move: Flash Cannon, Type: Steel, Power: 80, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 1, Move: Withdraw, Type: Water, Power: —, Accuracy: —; LVL: 9, Move: Rapid Spin, Type: Normal, Power: 50, Accuracy: 100; LVL: 12, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 15, Move: Water Pulse, Type: Water, Power: 60, Accuracy: 100; LVL: 20, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 25, Move: Rain Dance, Type: Water, Power: —, Accuracy: —; LVL: 30, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 35, Move: Shell Smash, Type: Normal, Power: —, Accuracy: —; LVL: 42, Move: Iron Defense, Type: Steel, Power: —, Accuracy: —; LVL: 49, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 56, Move: Skull Bash, Type: Normal, Power: 130, Accuracy: 100"
10,Caterpie,"Bug","Worm Pokémon","0.3m (1′00″)","2.9kg (6.4lbs)","Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.","Shield Dust, Run Away (hidden ability)","HP: 45; Attack: 30; Defense: 35; Sp. Atk: 20; Sp. Def: 20; Speed: 45; Total: 195","LVL: 1, Move: String Shot, Type: Bug, Power: —, Accuracy: 95; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 9, Move: Bug Bite, Type: Bug, Power: 60, Accuracy: 100; LVL: 1, Move: String Shot, Type: Bug, Power: —, Accuracy: 95; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 9, Move: Bug Bite, Type: Bug, Power: 60, Accuracy: 100"
